Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-04-01,49.880001,84.199997,53.990002,191.490005,102.07,53.59,29.799999,88.300003,86.309998,68.300003,158.539993,124.940002,95.959999,288.269989,77.599998,137.229996,311.26001,43.779999,136.998093,148.339996,138.979996,122.769997,46.720001,108.93,75.175,177.207352,59.709999,45.57,70.474808,45.490002,114.220001,347.929993,212.899994,139.509995,66.779999,79.970001,103.300003,32.606667,111.779999,81.730003
2019-04-02,49.25,82.900002,54.049999,190.479996,100.169998,52.900002,29.66,88.489998,85.519997,68.370003,157.639999,124.93,95.870003,291.73999,78.089996,137.610001,311.269989,43.080002,136.711288,148.740005,137.710007,122.650002,46.57,109.910004,75.505,177.366226,59.490002,45.75,70.300385,45.060001,114.239998,348.269989,213.220001,139.300003,66.330002,79.459999,103.269997,32.313332,111.269997,81.379997
2019-04-03,48.759998,84.209999,54.5,191.720001,101.510002,52.66,29.75,88.699997,85.470001,67.82,156.940002,123.889999,96.010002,290.079987,77.779999,137.380005,311.579987,41.93,137.313583,150.119995,137.169998,121.769997,46.18,111.93,75.605,178.202347,60.580002,47.154999,69.718994,44.900002,114.580002,347,213.600006,140.75,66.470001,79.309998,103.300003,32.396667,111.800003,80.900002
2019-04-04,48.779999,85.550003,54.82,191.770004,100.639999,53.09,29.940001,89.230003,85.650002,67.550003,156.970001,124.800003,96.879997,287.779999,78.349998,137.630005,313.640015,41.580002,136.500961,151.759995,135.570007,121.989998,46.48,113.32,76,179.79097,60.700001,47.064999,69.56395,45.110001,115,345.160004,212.649994,142.940002,66.860001,81.379997,103.010002,32.703335,111.860001,82.050003
2019-04-05,49,86.139999,55.169998,193.190002,101.529999,53.220001,29.93,89.459999,86.220001,67.919998,155.600006,126.419998,96.540001,289.350006,78.110001,138.919998,316.5,41.93,136.978973,152.199997,136.179993,121.919998,46.470001,114.980003,75.945,180.108704,60.689999,47.737499,70.038757,45.209999,114.959999,345.48999,214.529999,142.789993,67.139999,80.940002,104.440002,32.943333,112.870003,82.489998
2019-04-08,49.119999,86.940002,55.220001,193.029999,100.919998,53.02,29.9,89.620003,85.660004,68.019997,153.389999,126.68,96.68,287.5,78.230003,137.910004,314.959991,42.32,137.084137,153.910004,136.139999,121.639999,46.549999,115.790001,76.64,179.782608,60.48,47.947498,69.767441,45.259998,114.400002,343.829987,213.649994,144,67.239998,81.93,104.5,33.076668,113.129997,83
2019-04-09,49.040001,84.779999,53.84,192.279999,100.580002,52.860001,29.700001,89.230003,85.080002,68.110001,152.940002,125.540001,94.879997,287.459991,77.809998,136.979996,305.279999,41.75,135.860428,150.990005,135.570007,121.339996,46.669998,113.139999,76.65,177.224075,58.84,47.314999,68.982559,39.130001,114.279999,343.01001,214.809998,141.869995,66.959999,80.660004,103.82,32.896667,112.949997,81.93
2019-04-10,49.209999,85.550003,54.189999,193.039993,100.43,53.009998,29.969999,88.330002,86.050003,68.110001,153.789993,125.489998,95.18,288.700012,77.800003,138.539993,303.170013,41.75,136.730408,151.690002,135.580002,121.660004,46.639999,113.760002,77.285,177.349503,58.23,48.025002,69.534882,39.23,114.900002,342.920013,212.679993,142.460007,67.419998,80.75,104.050003,33.200001,114.550003,81.559998
2019-04-11,49.369999,82.709999,54.889999,193.550003,100.690002,53.09,30.27,89.669998,86.870003,68.089996,155.330002,125.989998,95.809998,289.820007,78.190002,136.929993,308.98999,41.560001,137.456985,154.330002,135.210007,122.57,46.709999,115.129997,77.02,178.536789,57.669998,47.884998,69.18605,39.98,114.519997,346.470001,213.130005,144.380005,68.120003,80.449997,104.75,33.599998,114.529999,81.949997
2019-04-12,49.509998,83.660004,55.509998,194.160004,101.190002,53.27,30.51,90.790001,87.489998,68.769997,155.490005,119.760002,97.129997,290.160004,79.040001,138.110001,304.859985,41.150002,138.001907,156.399994,135.979996,123.18,46.740002,116.260002,76.93,181.789291,58.540001,47.502499,69.098839,40.060001,115.599998,351.26001,214.929993,146.169998,69.010002,80.730003,105.900002,33.853333,115.769997,80.919998
2019-04-15,48.950001,82.260002,55.59,193.929993,101.110001,53.689999,30.68,90.879997,87.129997,68.709999,154.449997,120.139999,96.790001,288.700012,78.949997,136.520004,304.790009,41.099998,137.571701,155.619995,136.520004,123,47,117.18,77.49,180.459869,57.900002,46.174999,69.166664,39.889999,116.470001,351.429993,216.470001,146.610001,69.629997,81.980003,104.949997,34.143333,116.900002,80.650002
2019-04-16,49.59,83.209999,55.939999,197.100006,100.169998,52.580002,30.73,89.519997,87.720001,69.040001,152.339996,121.169998,97.489998,278.5,79.809998,132.490005,306,40.779999,138.757172,157.75,138.020004,123.32,46.950001,117.029999,76.6,181.354507,58.220001,47.052502,67.189919,40.470001,118.400002,349.390015,216.949997,145.820007,70.099998,81.970001,106.68,34.310001,113.889999,81.199997
2019-04-17,49.040001,82.099998,56,197.75,99.440002,52.900002,30.41,89.470001,86.470001,68.68,153.009995,120.269997,96.800003,274.630005,80.099998,131.009995,308.320007,40.720001,132.992355,156.149994,138.520004,123.449997,47.279999,117.120003,76.23,181.973251,58,46.822498,65.668602,38.349998,117.389999,347.970001,215.389999,144.619995,70.639999,82.68,106.089996,34.386665,111.639999,81.43
2019-04-18,48.919998,82.57,56.490002,198.100006,99.18,52.849998,30.57,89.989998,86.599998,69.349998,153.479996,119.860001,97.779999,278.290009,80.43,132.199997,308.179993,40.389999,134.158707,158.330002,137.520004,123.550003,47.48,113.739998,77.19,183.01004,57.5,46.575001,66.405037,38.220001,119.860001,349.720001,217.199997,145.740005,70.989998,83.260002,105.900002,34.393333,111.519997,81.129997
2019-04-22,48.560001,82.169998,56.09,196.619995,99.07,52.98,30.51,90.160004,85.970001,69.599998,154.509995,121.900002,96.349998,275.170013,79.959999,129.589996,291.209991,40.43,132.782028,157.190002,137.830002,130.25,47.400002,113.43,76.335,182.725754,56.98,47.1175,65.784882,37.639999,117.239998,350.839996,217.160004,145.429993,70.580002,82.019997,106.489998,34.123333,112.160004,82.900002
2019-04-23,48.91,79.050003,56.279999,196.669998,99.57,52.860001,31.57,90.730003,86.959999,69.010002,153.529999,122.019997,97.589996,276.899994,79.980003,131.449997,293.190002,39.240002,134.263855,157.929993,139.899994,125.620003,48.209999,113.540001,75.64,183.528427,58.619999,47.6675,66.918602,38.07,117.620003,351.290009,217.990005,147.449997,70.400002,82.160004,107.5,34.356667,115.199997,83.379997
2019-04-24,48.889999,76.800003,56.23,199.419998,100.089996,53.130001,31.459999,91.419998,87.690002,68.860001,154.220001,118.279999,97.260002,278.660004,80.5,133.119995,294.359985,39.810001,133.79541,156.809998,139.199997,124.400002,47.98,113.970001,75.665,183.177261,58.32,47.7925,67.751938,38.049999,116.639999,350.26001,218.380005,145.970001,70.07,82.879997,109.760002,34.509998,115.209999,81.760002
2019-04-25,49.18,74.870003,55.34,199.600006,100.980003,52.669998,31.5,88.580002,93.57,68.690002,155.089996,117.900002,96.220001,278.339996,78.730003,133.720001,295,39.66,132.533463,151.210007,139.649994,124.010002,47.84,113.599998,75.485,159.46489,57.400002,46.727501,67.906975,37.509998,115.529999,347.149994,219.199997,143.490005,69.370003,81.739998,107.660004,34.506668,122.260002,82.220001
2019-04-26,49.529999,75.559998,55.91,202.570007,100.980003,53.59,31.68,87.760002,94.190002,71.300003,157.559998,117.099998,97.029999,281.429993,79.279999,133.899994,291.910004,39.939999,133.307846,153.589996,140.389999,125.739998,48.259998,112.480003,76.42,160.259201,56.389999,44.522499,68.391472,38.41,117.809998,352.480011,220.270004,146.300003,69.099998,77.120003,108.050003,33.843334,123.68,80.489998
2019-04-29,49.720001,75.709999,55.810001,203.570007,100.480003,52.98,31.549999,81.110001,94.989998,71.379997,156.380005,117.720001,97.75,277.649994,78.339996,132.619995,284.850006,39.490002,132.934998,155.009995,139.839996,125.25,48.419998,112.220001,76.685,159.038467,56.880001,44.8325,67.344963,38.860001,117.110001,357.809998,219.699997,147.320007,69.720001,77.800003,107.279999,33.853333,122.309998,79.970001
