Date,AFL,ALB,AOS,APD,ATO,BFB,BRO,CHRW,CINF,CLX,CL,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-01,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.218992,0.18,0.0,0.463,0.0,0.0,0.39,0.0,0.0,0.0,0.15,0.0
2019-02,0.27,0.0,0.0,0.0,0.525,0.0,0.08,0.5,0.0,0.0,0.0,1.19,0.48,0.0,0.0,0.0,1.36,0.0,1.500956,0.0,0.9,0.0,0.0,0.0,0.0,1.44,0.0,0.04,0.218992,0.0,0.48,0.0,0.57,0.0,0.0,0.64,0.0,0.0,0.0,0.82
2019-03,0.0,0.368,0.0,1.16,0.0,0.166,0.0,0.0,0.56,0.0,0.0,0.0,0.0,1.95,0.0,1.02,0.0,0.0,0.0,1.0,0.0,1.03,0.4,0.0,0.0,0.0,0.4,0.0,0.218992,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.76,0.176667,0.0,0.0
2019-04,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.48,0.285,0.0,0.0,0.0,0.218992,0.18,0.0,0.463,0.0,0.0,0.39,0.0,0.0,0.0,0.15,0.0
2019-05,0.27,0.0,0.0,0.0,0.525,0.0,0.08,0.0,0.0,0.0,0.0,1.19,0.48,0.0,0.5,0.0,1.44,0.0,1.548757,0.0,0.95,0.0,0.0,0.0,0.0,1.44,0.0,0.04,0.218992,0.0,0.48,0.0,0.57,0.0,0.0,0.64,0.0,0.176667,0.0,0.87
2019-06,0.0,0.368,0.0,1.16,0.0,0.166,0.0,0.5,0.56,0.0,0.0,0.0,0.0,1.95,0.0,1.02,0.0,0.0,0.0,1.0,0.0,1.03,0.4,0.0,0.0,0.0,0.4,0.0,0.219961,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.76,0.0,0.0,0.0
2019-07,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.55,0.285,0.0,0.0,0.0,0.219961,0.18,0.0,0.463,0.0,0.0,0.39,0.0,0.0,0.0,0.15,0.0
2019-08,0.27,0.0,0.0,0.0,0.525,0.0,0.08,0.0,0.0,0.0,0.0,1.19,0.49,0.0,0.0,0.0,1.44,0.0,1.548757,0.0,0.95,0.0,0.0,0.0,0.0,1.44,0.0,0.04,0.219961,0.0,0.51,0.0,0.57,0.69,0.0,0.66,0.0,0.176667,0.0,0.87
2019-09,0.0,0.368,0.0,1.16,0.0,0.166,0.0,0.5,0.56,0.0,0.0,0.0,0.0,1.95,0.0,1.05,0.0,0.0,0.0,1.07,0.0,1.03,0.4,0.0,0.0,0.0,0.4,0.0,0.219961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0
2019-10,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.55,0.285,0.0,0.0,0.0,0.219961,0.18,0.0,0.463,0.0,0.0,0.39,0.0,0.0,0.0,0.16,0.0
