Date,AFL,ALB,AOS,APD,ATO,BF-B,BRO,CHRW,CINF,CL,CLX,CVX,DOV,ESS,EXPD,FRT,GWW,HRL,IBM,ITW,JNJ,KMB,KO,LOW,MKC,MMM,NUE,NVDA,O,PNR,PPG,ROP,SPGI,SWK,SYY,TGT,TROW,WMT,WST,XOM
2019-04-01,4066200,1439100,1299800,1134700,684400,1010700,634300,695500,526700,4139300,1151000,5506300,936800,270500,1000900,331400,509300,2196700,4167578,1238900,5885200,1776200,11522700,10408000,2000000,3095726,2350100,48382400,2111782,1694400,1526100,540100,1136000,1221000,1774100,4733900,1802700,25517400,608500,10816400
2019-04-02,3630100,1782900,1030800,1198700,2501900,793700,715300,1268600,423000,3130000,844200,4362700,640900,379100,1360400,317000,442000,3067200,2515421,1094500,5517800,1167400,8495000,3722400,2000000,1690546,1675300,44092000,2059562,2055400,961900,391100,719900,640100,1859700,2909200,687000,18822000,337600,7646000
2019-04-03,5489300,1976500,1065500,1080800,827900,852300,807600,1178100,571100,3791300,956800,3595400,869900,322100,1562300,429900,389400,4455000,2804535,1174700,5947000,1115200,12854500,4127200,3000000,1877720,2380000,78350400,1925609,1399400,1284100,487900,896400,875600,1845800,3251700,948600,17062500,473500,8562900
2019-04-04,2525200,1544500,879400,852200,541400,683000,784800,659300,358100,2541700,718300,3715400,525500,270900,988400,145300,304400,2754400,2898571,769900,5844600,673400,7814900,3007800,4000000,1866836,1773900,45737600,1251713,913400,1301900,477700,605200,960500,2490500,4396200,646500,12078900,364000,9360600
2019-04-05,3149900,1424500,806500,769200,598500,675300,608900,476200,505600,1981000,929600,5551400,1004400,285000,1056100,172000,410200,1937000,2857463,993300,4759700,1259400,7677600,3776800,2000000,1663756,1843600,48174400,1158730,922400,837800,391000,743500,1153300,1781700,4234600,1035000,13968000,291800,10059100
2019-04-08,3303600,964300,1277400,844100,453900,624900,709600,624200,304100,1678100,1507200,5483100,695800,281800,645900,170500,313200,2294400,2215637,1172300,4329600,1171100,9421300,4988100,3000000,1351480,1728900,42419200,1100731,884700,988200,540700,634300,882400,3677100,4609000,828200,16267200,263700,9108200
2019-04-09,3082000,1484000,1021100,600100,430400,874600,872900,673100,369600,2102100,783200,4143400,800500,235000,838300,246000,339400,2370200,3178271,918800,5210300,1314300,8641800,3694400,2000000,1813734,1930500,43997200,1417039,8596000,797500,396700,990100,1430600,1367000,4863800,782200,13102500,286600,8561600
2019-04-10,2493300,821500,1085500,594300,433400,957700,755100,760600,347000,2023100,965000,3970000,835300,330100,760900,361900,497200,2119900,2801188,790100,4194100,895600,8059900,4434900,2000000,1612926,2069400,44477200,1418587,3517900,779300,255500,850200,839300,1533600,2265400,1026700,12273300,240900,10324300
2019-04-11,3147200,1404700,725700,765800,429300,454600,937900,871300,328200,2508900,955700,3248300,944200,151900,576700,285700,415700,2591800,3077332,1024800,4485200,1307000,7352400,2540500,1000000,1412715,2387200,37460000,1926331,4205300,761900,256100,1403700,1173100,1963500,2627800,887500,16820700,277800,9115100
2019-04-12,3611500,1090200,740400,1349200,404400,448500,728000,813200,505900,3849700,919400,42693700,711400,245100,674700,382700,687700,2726400,3032249,807200,5756800,928000,10690000,3214100,989400,2299190,2208300,47170800,1949448,2258700,879800,298300,793100,1074400,2615700,3517200,779900,15486000,323600,16638700
2019-04-15,4309000,1352400,503500,1209400,332600,739400,886200,946200,443200,2907500,772500,13369100,706900,275300,546900,278400,292500,2107700,3768947,839900,5380900,1004600,10261300,3110800,1000000,1774027,1993800,44009200,1778858,1435100,1094100,265600,667100,1389700,3194500,3306200,669700,15335700,421600,8536100
